Order Number,Toothbrush Type,Order Date,Customer Age,Order Quantity,Delivery Postcode,Billing Postcode,Dispatch Status,Dispatch Date,Delivery Status,Delivery Date
BRU00008013,Toothbrush 2000,2022/12/02,84,8,dn319js,dn319js,Order Received,2022/12/02,Unavailable,
BRU00008088,Toothbrush 2000,2022/12/02,51,7,gu470ut,gu470ut,Order Confirmed,2022/12/02,Unavailable,
BRU00008217,Toothbrush 2000,2022/12/01,67,6,ha04yg,ha04yg,Order Confirmed,2022/12/01,Unavailable,
BRU00008219,Toothbrush 4000,2022/12/02,12,2,hg20af,hg20af,Order Confirmed,2022/12/02,Unavailable,
BRU00008162,Toothbrush 4000,2022/12/02,21,7,cv128py,cv128py,Order Confirmed,2022/12/02,Unavailable,
BRU00007803,Toothbrush 4000,2022/12/02,28,3,dl14pb,dl14pb,Order Confirmed,2022/12/02,Unavailable,
BRU00008247,Toothbrush 2000,2022/12/02,76,3,dt110hx,dt110hx,Order Received,2022/12/02,Unavailable,
BRU00008090,Toothbrush 4000,2022/12/02,25,7,cf148hf,cf148hf,Order Received,2022/12/02,Unavailable,
BRU00007870,Toothbrush 2000,2022/12/01,83,6,g743dq,g743dq,Dispatched,2022/12/01,Delivered,2022/12/02
BRU00008078,Toothbrush 2000,2022/12/01,87,7,gl181qn,gl181qn,Order Confirmed,2022/12/02,Unavailable,
BRU00007904,Toothbrush 2000,2022/12/02,83,4,ct95ly,ct95ly,Order Received,2022/12/02,Unavailable,
BRU00007768,Toothbrush 4000,2022/12/02,32,5,dn377eh,dn377eh,Order Received,2022/12/02,Unavailable,
BRU00008024,Toothbrush 4000,2022/12/02,43,9,ex394rj,ex394rj,Order Confirmed,2022/12/02,Unavailable,
BRU00007894,Toothbrush 4000,2022/12/02,28,9,hp70qe,hp70qe,Order Confirmed,2022/12/02,Unavailable,
BRU00008131,Toothbrush 2000,2022/12/01,84,2,cv22xh,cv22xh,Dispatched,2022/12/02,Unsuccessful,2022/12/03
BRU00007839,Toothbrush 2000,2022/12/01,73,5,gl73lb,gl73lb,Order Confirmed,2022/12/01,Unavailable,
BRU00007940,Toothbrush 2000,2022/12/01,76,1,gl525fx,gl525fx,Dispatched,2022/12/01,Delivered,2022/12/02
BRU00008227,Toothbrush 2000,2022/12/01,57,4,cv77tl,cv77tl,Order Received,2022/12/01,Unavailable,
BRU00008095,Toothbrush 4000,2022/12/01,36,2,hu164pt,hu164pt,Order Confirmed,2022/12/01,Unavailable,
BRU00008074,Toothbrush 2000,2022/12/01,76,1,cm75pz,cm75pz,Order Received,2022/12/01,Unavailable,
BRU00008293,Toothbrush 2000,2022/12/01,87,7,b376pr,b376pr,Order Received,2022/12/01,Unavailable,
BRU00008006,Toothbrush 2000,2022/12/02,74,8,de757nq,de757nq,Order Received,2022/12/02,Unavailable,
BRU00007692,Toothbrush 2000,2022/12/02,57,7,bh232fh,bh232fh,Order Confirmed,2022/12/02,Unavailable,
BRU00008067,Toothbrush 2000,2022/12/01,73,7,e46jl,e46jl,Order Received,2022/12/01,Unavailable,
BRU00007976,Toothbrush 2000,2022/12/01,81,6,b236hb,b236hb,Order Received,2022/12/01,Unavailable,
BRU00008294,Toothbrush 4000,2022/12/02,40,5,gy13ft,gy13ft,Order Received,2022/12/02,Unavailable,
BRU00007813,Toothbrush 4000,2022/12/02,36,5,hp202du,hp202du,Order Received,2022/12/02,Unavailable,
BRU00007966,Toothbrush 4000,2022/12/02,50,8,eh44gt,eh44gt,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007982,Toothbrush 4000,2022/12/02,15,6,cv22ep,cv22ep,Order Received,2022/12/02,Unavailable,
BRU00007818,Toothbrush 2000,2022/12/01,81,8,hp224pz,hp224pz,Order Received,2022/12/01,Unavailable,
BRU00007762,Toothbrush 2000,2022/12/01,64,5,bn69fr,bn69fr,Order Confirmed,2022/12/01,Unavailable,
BRU00007990,Toothbrush 2000,2022/12/01,71,9,cw123gs,cw123gs,Order Confirmed,2022/12/01,Unavailable,
BRU00008268,Toothbrush 2000,2022/12/02,82,7,bh232sp,bh232sp,Dispatched,2022/12/02,Delivered,2022/12/04
BRU00008114,Toothbrush 2000,2022/12/01,68,9,b647px,b647px,Order Received,2022/12/01,Unavailable,
BRU00007739,Toothbrush 4000,2022/12/02,45,6,gu344ej,gu344ej,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007798,Toothbrush 4000,2022/12/02,31,1,dd100dz,dd100dz,Order Confirmed,2022/12/02,Unavailable,
BRU00008045,Toothbrush 4000,2022/12/02,23,5,gl40wd,gl40wd,Order Received,2022/12/02,Unavailable,
BRU00008266,Toothbrush 4000,2022/12/02,23,8,cf142qx,cf142qx,Order Received,2022/12/02,Unavailable,
BRU00007776,Toothbrush 4000,2022/12/02,23,3,en65nf,en65nf,Order Confirmed,2022/12/02,Unavailable,
BRU00007867,Toothbrush 2000,2022/12/01,66,3,gy80lt,gy80lt,Order Confirmed,2022/12/01,Unavailable,
BRU00008179,Toothbrush 4000,2022/12/02,34,5,eh43ll,eh43ll,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007937,Toothbrush 2000,2022/12/01,82,1,ch21sa,ch21sa,Order Confirmed,2022/12/01,Unavailable,
BRU00008100,Toothbrush 4000,2022/12/02,15,7,ex30ga,ex30ga,Dispatched,2022/12/02,Delivered,2022/12/04
BRU00007765,Toothbrush 2000,2022/12/02,57,9,bs161gf,bs161gf,Order Confirmed,2022/12/02,Unavailable,
BRU00007902,Toothbrush 2000,2022/12/02,86,6,bb31pq,bb31pq,Order Received,2022/12/02,Unavailable,
BRU00008158,Toothbrush 4000,2022/12/02,35,1,gu31ld,gu31ld,Order Received,2022/12/02,Unavailable,
BRU00007828,Toothbrush 2000,2022/12/02,72,8,ba16ra,ba16ra,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007920,Toothbrush 4000,2022/12/01,22,3,eh497rf,eh497rf,Order Confirmed,2022/12/01,Unavailable,
BRU00007884,Toothbrush 4000,2022/12/02,20,9,dt65lg,dt65lg,Order Confirmed,2022/12/02,Unavailable,
BRU00007760,Toothbrush 2000,2022/12/01,65,7,fk11tg,fk11tg,Order Received,2022/12/01,Unavailable,
BRU00007711,Toothbrush 2000,2022/12/02,64,3,hx26tn,hx26tn,Order Confirmed,2022/12/02,Unavailable,
BRU00007897,Toothbrush 4000,2022/12/02,31,9,gu179ua,gu179ua,Order Confirmed,2022/12/02,Unavailable,
BRU00007925,Toothbrush 2000,2022/12/01,79,1,dn106aw,dn106aw,Order Received,2022/12/01,Unavailable,
BRU00008080,Toothbrush 4000,2022/12/02,16,4,bn436jg,bn436jg,Order Confirmed,2022/12/02,Unavailable,
BRU00008040,Toothbrush 4000,2022/12/01,32,6,dg71ax,dg71ax,Dispatched,2022/12/02,Unsuccessful,2022/12/02
BRU00007713,Toothbrush 4000,2022/12/02,23,9,gl509tr,gl509tr,Order Confirmed,2022/12/02,Unavailable,
BRU00008276,Toothbrush 2000,2022/12/02,78,8,eh47ld,eh47ld,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007931,Toothbrush 4000,2022/12/02,11,8,cf32sb,cf32sb,Order Received,2022/12/02,Unavailable,
BRU00008288,Toothbrush 4000,2022/12/02,22,9,dn331nt,dn331nt,Order Received,2022/12/02,Unavailable,
BRU00007704,Toothbrush 4000,2022/12/02,16,4,ct94lt,ct94lt,Order Received,2022/12/02,Unavailable,
BRU00007679,Toothbrush 2000,2022/12/01,85,4,cv56ee,cv56ee,Order Confirmed,2022/12/01,Unavailable,
BRU00008102,Toothbrush 2000,2022/12/01,95,2,cw26ay,cw26ay,Order Confirmed,2022/12/01,Unavailable,
BRU00007906,Toothbrush 2000,2022/12/02,72,2,ig63dg,ig63dg,Order Confirmed,2022/12/02,Unavailable,
BRU00007696,Toothbrush 4000,2022/12/02,37,6,dn227na,dn227na,Order Confirmed,2022/12/02,Unavailable,
BRU00007962,Toothbrush 4000,2022/12/01,23,1,im96bt,im96bt,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007830,Toothbrush 4000,2022/12/02,40,4,ct196bt,ct196bt,Order Confirmed,2022/12/02,Unavailable,
BRU00008079,Toothbrush 4000,2022/12/01,33,6,cv115xl,cv115xl,Dispatched,2022/12/02,Unsuccessful,2022/12/03
BRU00007787,Toothbrush 2000,2022/12/01,64,7,b927qe,b927qe,Order Confirmed,2022/12/01,Unavailable,
BRU00007834,Toothbrush 4000,2022/12/02,20,1,ip155br,ip155br,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008099,Toothbrush 4000,2022/12/01,14,5,dg126az,dg126az,Dispatched,2022/12/02,Unsuccessful,2022/12/02
BRU00008134,Toothbrush 4000,2022/12/02,35,8,bl15up,bl15up,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007796,Toothbrush 4000,2022/12/02,20,9,dn148qy,dn148qy,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008039,Toothbrush 2000,2022/12/01,79,5,bd24hy,bd24hy,Order Confirmed,2022/12/01,Unavailable,
BRU00008034,Toothbrush 4000,2022/12/02,20,1,dg86pd,dg86pd,Order Confirmed,2022/12/02,Unavailable,
BRU00007969,Toothbrush 4000,2022/12/01,21,9,ab555fa,ab555fa,Order Received,2022/12/01,Unavailable,
BRU00007734,Toothbrush 4000,2022/12/02,25,3,co112tf,co112tf,Dispatched,2022/12/02,Delivered,2022/12/04
BRU00008069,Toothbrush 2000,2022/12/01,78,7,eh113uq,eh113uq,Dispatched,2022/12/01,Delivered,2022/12/02
BRU00008004,Toothbrush 2000,2022/12/02,77,3,dh33jq,dh33jq,Order Received,2022/12/02,Unavailable,
BRU00008198,Toothbrush 4000,2022/12/01,35,9,co100wh,co100wh,Order Confirmed,2022/12/01,Unavailable,
BRU00008038,Toothbrush 2000,2022/12/01,88,9,co79py,co79py,Order Confirmed,2022/12/01,Unavailable,
BRU00008230,Toothbrush 2000,2022/12/01,86,5,dl146qq,dl146qq,Order Received,2022/12/01,Unavailable,
BRU00008289,Toothbrush 2000,2022/12/02,56,9,b440ux,b440ux,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007882,Toothbrush 2000,2022/12/02,48,3,da99nl,da99nl,Order Confirmed,2022/12/02,Unavailable,
BRU00008234,Toothbrush 2000,2022/12/02,62,6,hx77dj,hx77dj,Order Received,2022/12/02,Unavailable,
BRU00007880,Toothbrush 4000,2022/12/01,35,3,cv376ut,cv376ut,Order Confirmed,2022/12/01,Unavailable,
BRU00007785,Toothbrush 4000,2022/12/02,33,8,g759dh,g759dh,Order Received,2022/12/02,Unavailable,
BRU00008175,Toothbrush 2000,2022/12/01,79,4,g661ph,g661ph,Order Received,2022/12/01,Unavailable,
BRU00008022,Toothbrush 4000,2022/12/02,26,9,ba148nt,ba148nt,Order Confirmed,2022/12/02,Unavailable,
BRU00007729,Toothbrush 4000,2022/12/01,18,5,ex152lr,ex152lr,Dispatched,2022/12/01,Delivered,2022/12/03
BRU00008028,Toothbrush 2000,2022/12/01,80,2,hp236yu,hp236yu,Dispatched,2022/12/01,Delivered,2022/12/02
BRU00007913,Toothbrush 2000,2022/12/02,76,2,g331dx,g331dx,Order Received,2022/12/02,Unavailable,
BRU00007835,Toothbrush 4000,2022/12/02,24,1,al14qj,al14qj,Order Received,2022/12/02,Unavailable,
BRU00007948,Toothbrush 2000,2022/12/02,81,3,ex364lb,ex364lb,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008037,Toothbrush 2000,2022/12/01,83,3,hg41rl,hg41rl,Dispatched,2022/12/01,Delivered,2022/12/02
BRU00008246,Toothbrush 2000,2022/12/02,83,4,cv77ug,cv77ug,Order Confirmed,2022/12/02,Unavailable,
BRU00007859,Toothbrush 4000,2022/12/02,26,3,cv25bt,cv25bt,Order Confirmed,2022/12/03,Unavailable,
BRU00007963,Toothbrush 4000,2022/12/02,44,5,bl96dp,bl96dp,Order Confirmed,2022/12/02,Unavailable,
BRU00008196,Toothbrush 2000,2022/12/01,57,2,dd51br,dd51br,Order Confirmed,2022/12/01,Unavailable,
BRU00007682,Toothbrush 4000,2022/12/01,37,3,ch626bz,ch626bz,Dispatched,2022/12/02,Unsuccessful,2022/12/02
BRU00008260,Toothbrush 4000,2022/12/02,19,7,ab561ul,ab561ul,Order Confirmed,2022/12/02,Unavailable,
BRU00008018,Toothbrush 4000,2022/12/02,21,9,de127gx,de127gx,Order Received,2022/12/02,Unavailable,
BRU00007995,Toothbrush 4000,2022/12/02,18,8,ch663jh,ch663jh,Order Received,2022/12/02,Unavailable,
BRU00008012,Toothbrush 2000,2022/12/01,70,4,cv107gb,cv107gb,Order Received,2022/12/01,Unavailable,
BRU00007810,Toothbrush 4000,2022/12/01,18,2,cf118be,cf118be,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008064,Toothbrush 2000,2022/12/01,79,3,dl38hn,dl38hn,Dispatched,2022/12/02,Unsuccessful,2022/12/03
BRU00007799,Toothbrush 2000,2022/12/01,70,4,ip288sw,ip288sw,Order Received,2022/12/01,Unavailable,
BRU00008128,Toothbrush 2000,2022/12/02,79,3,im44ru,im44ru,Order Received,2022/12/02,Unavailable,
BRU00008030,Toothbrush 4000,2022/12/02,30,3,ch15ax,ch15ax,Order Received,2022/12/02,Unavailable,
BRU00007861,Toothbrush 2000,2022/12/01,56,9,dh59rd,dh59rd,Order Received,2022/12/01,Unavailable,
BRU00007896,Toothbrush 2000,2022/12/01,106,4,de143ls,de143ls,Order Received,2022/12/01,Unavailable,
BRU00007801,Toothbrush 4000,2022/12/02,45,3,bs59sd,bs59sd,Order Received,2022/12/02,Unavailable,
BRU00007923,Toothbrush 2000,2022/12/01,86,6,br34ja,br34ja,Order Confirmed,2022/12/02,Unavailable,
BRU00008270,Toothbrush 2000,2022/12/02,68,3,ct47nd,ct47nd,Order Confirmed,2022/12/02,Unavailable,
BRU00008084,Toothbrush 2000,2022/12/01,73,3,gl142ej,gl142ej,Dispatched,2022/12/01,Delivered,2022/12/02
BRU00007746,Toothbrush 2000,2022/12/01,70,8,ch72lp,ch72lp,Dispatched,2022/12/01,Delivered,2022/12/02
BRU00007699,Toothbrush 2000,2022/12/01,75,9,gl179qa,gl179qa,Dispatched,2022/12/02,Unsuccessful,2022/12/02
BRU00008197,Toothbrush 4000,2022/12/01,26,1,ex143gj,ex143gj,Order Confirmed,2022/12/01,Unavailable,
BRU00007860,Toothbrush 4000,2022/12/02,30,1,al60fh,al60fh,Order Received,2022/12/02,Unavailable,
BRU00007791,Toothbrush 2000,2022/12/02,80,8,bb127dt,bb127dt,Order Confirmed,2022/12/02,Unavailable,
BRU00008206,Toothbrush 2000,2022/12/02,72,8,gu67eg,gu67eg,Order Received,2022/12/02,Unavailable,
BRU00008044,Toothbrush 2000,2022/12/01,91,8,ha97fa,ha97fa,Dispatched,2022/12/01,Delivered,2022/12/03
BRU00007716,Toothbrush 4000,2022/12/01,19,9,de75ay,de75ay,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007823,Toothbrush 4000,2022/12/02,9,4,ch662qq,ch662qq,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008025,Toothbrush 4000,2022/12/02,20,8,bd215df,bd215df,Order Confirmed,2022/12/02,Unavailable,
BRU00007687,Toothbrush 4000,2022/12/02,35,9,b435nu,b435nu,Order Confirmed,2022/12/02,Unavailable,
BRU00008177,Toothbrush 2000,2022/12/01,89,8,hu175nl,hu175nl,Order Received,2022/12/01,Unavailable,
BRU00007686,Toothbrush 2000,2022/12/01,55,5,ct194js,ct194js,Order Confirmed,2022/12/01,Unavailable,
BRU00007939,Toothbrush 4000,2022/12/01,25,8,bs231ju,bs231ju,Order Received,2022/12/01,Unavailable,
BRU00007731,Toothbrush 4000,2022/12/01,39,3,im47br,im47br,Order Received,2022/12/01,Unavailable,
BRU00007755,Toothbrush 4000,2022/12/02,17,2,gy68sr,gy68sr,Order Received,2022/12/02,Unavailable,
BRU00007772,Toothbrush 4000,2022/12/02,23,7,b120xz,b120xz,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008016,Toothbrush 2000,2022/12/02,80,3,co92qr,co92qr,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007865,Toothbrush 2000,2022/12/01,68,2,cb87gg,cb87gg,Order Received,2022/12/01,Unavailable,
BRU00007946,Toothbrush 2000,2022/12/01,66,8,dn378js,dn378js,Dispatched,2022/12/01,Delivered,2022/12/02
BRU00008047,Toothbrush 4000,2022/12/02,26,7,gl560jq,gl560jq,Order Confirmed,2022/12/02,Unavailable,
BRU00008122,Toothbrush 2000,2022/12/01,70,1,g443hs,g443hs,Order Confirmed,2022/12/01,Unavailable,
BRU00007690,Toothbrush 2000,2022/12/01,72,6,ex392rw,ex392rw,Dispatched,2022/12/01,Delivered,2022/12/03
BRU00008186,Toothbrush 4000,2022/12/02,14,4,fy76qx,fy76qx,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008137,Toothbrush 2000,2022/12/02,62,1,g320hr,g320hr,Order Confirmed,2022/12/02,Unavailable,
BRU00007684,Toothbrush 4000,2022/12/02,42,1,eh329nu,eh329nu,Order Received,2022/12/02,Unavailable,
BRU00008146,Toothbrush 2000,2022/12/01,67,9,cb250bb,cb250bb,Order Received,2022/12/01,Unavailable,
BRU00008285,Toothbrush 4000,2022/12/01,30,1,eh145rf,eh145rf,Order Received,2022/12/01,Unavailable,
BRU00008112,Toothbrush 2000,2022/12/01,72,7,gl542ly,gl542ly,Order Received,2022/12/01,Unavailable,
BRU00008271,Toothbrush 4000,2022/12/02,38,9,cr03fe,cr03fe,Order Received,2022/12/02,Unavailable,
BRU00007783,Toothbrush 4000,2022/12/02,34,2,hd50az,hd50az,Order Received,2022/12/02,Unavailable,
BRU00007773,Toothbrush 2000,2022/12/02,86,6,ex111nx,ex111nx,Order Received,2022/12/02,Unavailable,
BRU00008295,Toothbrush 4000,2022/12/02,30,6,b979rt,b979rt,Order Confirmed,2022/12/02,Unavailable,
BRU00007964,Toothbrush 4000,2022/12/02,47,4,hu74lq,hu74lq,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007844,Toothbrush 4000,2022/12/02,30,9,bd234rb,bd234rb,Order Received,2022/12/02,Unavailable,
BRU00008291,Toothbrush 2000,2022/12/01,104,9,cv378an,cv378an,Dispatched,2022/12/02,Unsuccessful,2022/12/03
BRU00008232,Toothbrush 2000,2022/12/01,85,2,dy69lt,dy69lt,Order Confirmed,2022/12/01,Unavailable,
BRU00008275,Toothbrush 4000,2022/12/02,18,9,gu59hp,gu59hp,Order Received,2022/12/02,Unavailable,
BRU00007800,Toothbrush 4000,2022/12/02,19,4,bh213sx,bh213sx,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007726,Toothbrush 4000,2022/12/02,27,3,dl148ld,dl148ld,Order Confirmed,2022/12/02,Unavailable,
BRU00008068,Toothbrush 4000,2022/12/02,11,8,ip129ts,ip129ts,Order Received,2022/12/02,Unavailable,
BRU00008049,Toothbrush 4000,2022/12/02,19,9,ab314gj,ab314gj,Order Confirmed,2022/12/02,Unavailable,
BRU00007875,Toothbrush 4000,2022/12/03,34,2,dt102dq,dt102dq,Dispatched,2022/12/03,Delivered,2022/12/04
BRU00008117,Toothbrush 2000,2022/12/02,83,5,dn60nh,dn60nh,Order Confirmed,2022/12/02,Unavailable,
BRU00007777,Toothbrush 4000,2022/12/02,47,6,cv32ts,cv32ts,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008042,Toothbrush 4000,2022/12/02,34,4,bn273su,bn273su,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007701,Toothbrush 4000,2022/12/02,6,8,bh93el,bh93el,Order Confirmed,2022/12/02,Unavailable,
BRU00007863,Toothbrush 4000,2022/12/01,35,3,co100hn,co100hn,Order Confirmed,2022/12/01,Unavailable,
BRU00008036,Toothbrush 2000,2022/12/02,83,3,co151nb,co151nb,Order Received,2022/12/02,Unavailable,
BRU00008130,Toothbrush 2000,2022/12/02,82,1,bh19ld,bh19ld,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007757,Toothbrush 2000,2022/12/02,82,9,ex314hl,ex314hl,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007842,Toothbrush 2000,2022/12/01,79,8,cv115lz,cv115lz,Order Confirmed,2022/12/01,Unavailable,
BRU00008057,Toothbrush 4000,2022/12/02,14,5,g781er,g781er,Dispatched,2022/12/02,Delivered,2022/12/04
BRU00007705,Toothbrush 4000,2022/12/02,25,9,bs375nw,bs375nw,Order Received,2022/12/02,Unavailable,
BRU00007685,Toothbrush 2000,2022/12/01,83,4,cm150an,cm150an,Order Confirmed,2022/12/01,Unavailable,
BRU00007778,Toothbrush 4000,2022/12/02,20,6,b761hz,b761hz,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008287,Toothbrush 4000,2022/12/02,37,1,hd80eq,hd80eq,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007763,Toothbrush 4000,2022/12/02,30,3,ex24sw,ex24sw,Dispatched,2022/12/02,Delivered,2022/12/04
BRU00007795,Toothbrush 2000,2022/12/01,88,9,gl114jd,gl114jd,Dispatched,2022/12/01,Delivered,2022/12/03
BRU00007891,Toothbrush 4000,2022/12/02,32,8,cr02lz,cr02lz,Order Received,2022/12/02,Unavailable,
BRU00008019,Toothbrush 2000,2022/12/02,62,8,ab107ne,ab107ne,Order Received,2022/12/02,Unavailable,
BRU00008165,Toothbrush 2000,2022/12/01,78,7,dl30lw,dl30lw,Order Received,2022/12/01,Unavailable,
BRU00008164,Toothbrush 4000,2022/12/01,26,1,ip288hy,ip288hy,Order Confirmed,2022/12/01,Unavailable,
BRU00008243,Toothbrush 2000,2022/12/01,90,1,dt11qh,dt11qh,Order Received,2022/12/01,Unavailable,
BRU00007814,Toothbrush 2000,2022/12/02,65,9,hr14hh,hr14hh,Order Received,2022/12/02,Unavailable,
BRU00008298,Toothbrush 4000,2022/12/01,41,2,dn333aw,dn333aw,Order Received,2022/12/01,Unavailable,
BRU00007856,Toothbrush 4000,2022/12/02,21,3,ct155jg,ct155jg,Order Confirmed,2022/12/02,Unavailable,
BRU00007932,Toothbrush 2000,2022/12/02,74,9,dg20sw,dg20sw,Order Confirmed,2022/12/02,Unavailable,
BRU00007730,Toothbrush 4000,2022/12/02,20,5,ch65lg,ch65lg,Order Received,2022/12/02,Unavailable,
BRU00007878,Toothbrush 2000,2022/12/02,77,9,gu213rj,gu213rj,Order Confirmed,2022/12/02,Unavailable,
BRU00008072,Toothbrush 4000,2022/12/02,33,2,dn155dq,dn155dq,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007702,Toothbrush 4000,2022/12/02,43,2,br33dg,br33dg,Order Received,2022/12/02,Unavailable,
BRU00008001,Toothbrush 4000,2022/12/01,15,7,de138nb,de138nb,Dispatched,2022/12/02,Unsuccessful,2022/12/02
BRU00008221,Toothbrush 2000,2022/12/01,97,8,dn84tb,dn84tb,Dispatched,2022/12/01,Delivered,2022/12/02
BRU00008255,Toothbrush 2000,2022/12/01,93,8,b662js,b662js,Dispatched,2022/12/02,Unsuccessful,2022/12/03
BRU00007988,Toothbrush 4000,2022/12/02,32,2,en19ge,en19ge,Order Confirmed,2022/12/02,Unavailable,
BRU00008216,Toothbrush 2000,2022/12/01,65,2,co152pr,co152pr,Order Confirmed,2022/12/01,Unavailable,
BRU00007848,Toothbrush 4000,2022/12/02,15,6,ch87sy,ch87sy,Order Received,2022/12/02,Unavailable,
BRU00007691,Toothbrush 4000,2022/12/02,15,8,ct52jg,ct52jg,Order Received,2022/12/02,Unavailable,
BRU00008017,Toothbrush 2000,2022/12/02,61,4,hd61hj,hd61hj,Order Confirmed,2022/12/02,Unavailable,
BRU00007681,Toothbrush 4000,2022/12/01,18,3,e161qb,e161qb,Order Confirmed,2022/12/02,Unavailable,
BRU00008027,Toothbrush 2000,2022/12/02,109,7,br66af,br66af,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008166,Toothbrush 2000,2022/12/02,61,5,gl55jt,gl55jt,Order Confirmed,2022/12/02,Unavailable,
BRU00007797,Toothbrush 2000,2022/12/01,87,5,e83lq,e83lq,Order Confirmed,2022/12/02,Unavailable,
BRU00008280,Toothbrush 4000,2022/12/01,10,5,gu280lt,gu280lt,Order Confirmed,2022/12/02,Unavailable,
BRU00008224,Toothbrush 2000,2022/12/02,79,3,en771ff,en771ff,Order Confirmed,2022/12/02,Unavailable,
BRU00008200,Toothbrush 4000,2022/12/02,23,5,bs345uh,bs345uh,Order Received,2022/12/02,Unavailable,
BRU00007782,Toothbrush 4000,2022/12/02,26,4,bs495hd,bs495hd,Order Confirmed,2022/12/02,Unavailable,
BRU00008235,Toothbrush 4000,2022/12/02,29,6,eh87aj,eh87aj,Order Confirmed,2022/12/02,Unavailable,
BRU00007693,Toothbrush 2000,2022/12/01,71,7,bd62aq,bd62aq,Order Received,2022/12/01,Unavailable,
BRU00007956,Toothbrush 4000,2022/12/02,13,2,dn358rj,dn358rj,Dispatched,2022/12/02,Delivered,2022/12/04
BRU00007759,Toothbrush 4000,2022/12/02,15,6,bs351bg,bs351bg,Dispatched,2022/12/03,Unsuccessful,2022/12/05
BRU00007850,Toothbrush 2000,2022/12/02,74,8,gl24bs,gl24bs,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008155,Toothbrush 2000,2022/12/02,67,5,al13sl,al13sl,Order Received,2022/12/02,Unavailable,
BRU00008215,Toothbrush 2000,2022/12/01,94,3,dd81qp,dd81qp,Order Confirmed,2022/12/01,Unavailable,
BRU00008297,Toothbrush 4000,2022/12/02,25,9,hu55sw,hu55sw,Dispatched,2022/12/03,Unsuccessful,2022/12/04
BRU00007753,Toothbrush 4000,2022/12/02,28,2,ha86lq,ha86lq,Dispatched,2022/12/02,Delivered,2022/12/04
BRU00007697,Toothbrush 4000,2022/12/02,25,1,ca117de,ca117de,Order Confirmed,2022/12/02,Unavailable,
BRU00008061,Toothbrush 2000,2022/12/02,90,4,cb80ph,cb80ph,Dispatched,2022/12/02,Delivered,2022/12/04
BRU00007980,Toothbrush 2000,2022/12/01,70,9,im53bp,im53bp,Dispatched,2022/12/02,Unsuccessful,2022/12/03
BRU00008290,Toothbrush 2000,2022/12/01,70,2,de43ld,de43ld,Order Confirmed,2022/12/01,Unavailable,
BRU00007954,Toothbrush 2000,2022/12/02,81,2,cv65hf,cv65hf,Order Confirmed,2022/12/02,Unavailable,
BRU00007977,Toothbrush 4000,2022/12/01,28,2,ex13hy,ex13hy,Order Received,2022/12/01,Unavailable,
BRU00008149,Toothbrush 2000,2022/12/01,66,8,ba229jn,ba229jn,Dispatched,2022/12/02,Unsuccessful,2022/12/03
BRU00007938,Toothbrush 2000,2022/12/02,82,3,bd194rp,bd194rp,Order Confirmed,2022/12/02,Unavailable,
BRU00007941,Toothbrush 2000,2022/12/02,69,2,cb75uf,cb75uf,Order Received,2022/12/02,Unavailable,
BRU00008241,Toothbrush 4000,2022/12/01,34,4,cv12ta,cv12ta,Dispatched,2022/12/02,Unsuccessful,2022/12/02
BRU00008076,Toothbrush 2000,2022/12/01,58,2,cv370up,cv370up,Order Confirmed,2022/12/01,Unavailable,
BRU00007709,Toothbrush 2000,2022/12/02,51,3,g328aw,g328aw,Order Received,2022/12/02,Unavailable,
BRU00007981,Toothbrush 4000,2022/12/02,31,6,dg112fe,dg112fe,Order Confirmed,2022/12/02,Unavailable,
BRU00007771,Toothbrush 4000,2022/12/02,17,2,b330nw,b330nw,Order Confirmed,2022/12/02,Unavailable,
BRU00007935,Toothbrush 2000,2022/12/01,71,3,ip287ln,ip287ln,Dispatched,2022/12/01,Delivered,2022/12/02
