Order Number,Toothbrush Type,Order Date,Customer Age,Order Quantity,Delivery Postcode,Billing Postcode,is_first,Dispatch Status,Dispatched Date,Delivery Status,Delivery Date
BRU00011564,Toothbrush 4000,2022-12-02 21:51:04.426312000,36,7,de159eh,de159eh,1,Dispatched,2022-12-03 05:22:38.123299600,Delivered,2022-12-04 05:18:45.509324800
BRU00011310,Toothbrush 4000,2022-12-02 14:48:11.557483200,19,8,bs69py,bs69py,1,Dispatched,2022-12-02 21:39:04.318153200,Delivered,2022-12-04 01:32:48.010290000
BRU00010990,Toothbrush 4000,2022-12-02 07:16:47.823533600,30,1,b289es,b289es,1,Dispatched,2022-12-02 13:52:49.115325200,Delivered,2022-12-03 15:50:39.701747600
BRU00011476,Toothbrush 4000,2022-12-02 17:09:44.730732000,25,2,b496ds,b496ds,1,Order Confirmed,2022-12-02 18:25:35.843089200,,
BRU00010830,Toothbrush 4000,2022-12-02 15:52:25.176514000,9,6,hp27ny,hp27ny,1,Dispatched,2022-12-02 22:43:26.732660800,Delivered,2022-12-03 20:36:32.793108400
BRU00010959,Toothbrush 2000,2022-12-01 09:05:04.781418000,81,6,eh548py,eh548py,1,Order Confirmed,2022-12-01 10:07:36.309853200,,
BRU00011660,Toothbrush 2000,2022-12-01 20:15:43.689821599,71,6,fy39ln,fy39ln,1,Order Confirmed,2022-12-01 21:20:45.404298799,,
BRU00010806,Toothbrush 2000,2022-12-01 18:36:14.945044400,77,1,ex173pz,ex173pz,1,Order Received,2022-12-01 18:47:19.148813600,,
BRU00011193,Toothbrush 4000,2022-12-02 10:59:11.944211200,29,1,bs58ed,bs58ed,1,Order Received,2022-12-02 11:10:36.999454000,,
BRU00011786,Toothbrush 2000,2022-12-02 09:32:47.268952400,89,4,bl83ls,bl83ls,1,Order Confirmed,2022-12-02 10:32:29.855777600,,
BRU00011268,Toothbrush 4000,2022-12-02 06:22:27.776615600,26,4,ip186ta,ip186ta,1,Order Received,2022-12-02 06:33:50.658642800,,
BRU00011149,Toothbrush 4000,2022-12-02 03:10:51.699797200,18,6,g537hj,g537hj,1,Dispatched,2022-12-02 11:43:21.048850000,Delivered,2022-12-03 14:35:01.656119200
BRU00011673,Toothbrush 2000,2022-12-01 19:55:45.674810400,90,1,hr69jf,hr69jf,1,Order Confirmed,2022-12-01 21:09:27.456289200,,
BRU00011121,Toothbrush 4000,2022-12-01 20:03:28.651775600,30,7,ab565jy,ab565jy,1,Order Confirmed,2022-12-01 21:06:56.889419600,,
BRU00011164,Toothbrush 4000,2022-12-02 05:37:24.283414800,6,2,bn252tb,bn252tb,1,Order Received,2022-12-02 05:49:07.277900400,,
BRU00011406,Toothbrush 2000,2022-12-02 02:30:21.788895600,79,3,bs110ex,bs110ex,1,Order Confirmed,2022-12-02 03:38:54.017916000,,
BRU00010856,Toothbrush 2000,2022-12-01 23:50:40.519509200,56,6,bs91ph,bs91ph,1,Order Received,2022-12-02 00:02:32.438654000,,
BRU00010884,Toothbrush 4000,2022-12-02 07:24:27.599456000,24,4,dn312qw,dn312qw,1,Order Received,2022-12-02 07:36:27.221636000,,
BRU00011700,Toothbrush 4000,2022-12-02 15:19:19.759606000,18,7,cf479th,cf479th,1,Dispatched,2022-12-02 21:39:39.025127200,Delivered,2022-12-04 06:29:47.175688000
BRU00011513,Toothbrush 2000,2022-12-01 13:11:11.059254399,77,5,bn69eb,bn69eb,1,Dispatched,2022-12-01 20:22:41.128361199,Delivered,2022-12-02 21:57:20.078137599
BRU00011585,Toothbrush 4000,2022-12-02 00:46:13.476906799,12,3,eh106hh,eh106hh,1,Order Confirmed,2022-12-02 01:50:19.219563199,,
BRU00011133,Toothbrush 4000,2022-12-02 05:06:33.925724400,14,6,de43ar,de43ar,1,Order Confirmed,2022-12-02 06:11:37.484967600,,
BRU00011148,Toothbrush 4000,2022-12-02 01:29:30.701562800,32,5,ba77aw,ba77aw,1,Order Confirmed,2022-12-02 02:35:19.952286800,,
BRU00011734,Toothbrush 2000,2022-12-01 18:59:13.522191600,68,5,b475ps,b475ps,1,Dispatched,2022-12-02 02:16:16.275031200,Delivered,2022-12-03 07:26:26.148039600
BRU00011674,Toothbrush 2000,2022-12-02 09:13:47.401468400,72,2,ip241bj,ip241bj,1,Dispatched,2022-12-02 17:19:45.346008800,Delivered,2022-12-04 01:34:55.800714800
BRU00010989,Toothbrush 2000,2022-12-02 06:41:31.447211600,69,1,fy83ht,fy83ht,1,Order Received,2022-12-02 06:52:55.761138800,,
BRU00011514,Toothbrush 4000,2022-12-02 16:30:15.370697200,22,3,hp25ng,hp25ng,1,Order Confirmed,2022-12-02 17:23:26.272802800,,
BRU00011139,Toothbrush 4000,2022-12-02 00:53:04.490916400,35,6,dd82nd,dd82nd,1,Dispatched,2022-12-02 07:29:16.782007600,Delivered,2022-12-03 07:34:04.965337600
BRU00011540,Toothbrush 4000,2022-12-02 07:17:10.196672800,2,3,ip11df,ip11df,1,Dispatched,2022-12-02 14:16:08.551302400,Delivered,2022-12-04 01:46:00.350934400
BRU00011725,Toothbrush 4000,2022-12-01 17:39:17.508093600,16,7,hx27ej,hx27ej,1,Dispatched,2022-12-02 01:03:10.030227600,Delivered,2022-12-03 01:18:41.181787200
BRU00011219,Toothbrush 2000,2022-12-02 12:35:58.422168400,60,6,da176lj,da176lj,1,Order Received,2022-12-02 12:47:41.705950000,,
BRU00011300,Toothbrush 4000,2022-12-02 15:18:35.394938400,21,9,bl34rq,bl34rq,1,Dispatched,2022-12-02 22:20:43.006813199,Delivered,2022-12-03 22:25:47.894409599
BRU00010948,Toothbrush 2000,2022-12-01 22:01:07.509473600,64,7,dn319sf,dn319sf,1,Order Confirmed,2022-12-01 23:13:02.408406800,,
BRU00011398,Toothbrush 2000,2022-12-02 06:16:13.709499600,68,1,g432nu,g432nu,1,Dispatched,2022-12-02 13:18:22.059594000,Delivered,2022-12-03 17:38:35.989393200
BRU00011335,Toothbrush 2000,2022-12-02 05:30:28.906988000,72,1,co29fj,co29fj,1,Dispatched,2022-12-02 12:00:12.452687600,Delivered,2022-12-03 19:07:28.829146400
BRU00011705,Toothbrush 4000,2022-12-02 21:59:42.051667600,40,2,dy47bd,dy47bd,1,Dispatched,2022-12-03 05:10:56.567820400,Delivered,2022-12-04 07:08:08.321453200
BRU00011453,Toothbrush 4000,2022-12-01 22:16:52.147782400,23,2,fy38ra,fy38ra,1,Dispatched,2022-12-02 06:05:12.679399600,Delivered,2022-12-03 07:38:11.644907199
BRU00011754,Toothbrush 2000,2022-12-01 21:51:46.815653600,77,2,ba34ef,ba34ef,1,Dispatched,2022-12-02 05:14:47.814119600,Delivered,2022-12-03 05:45:52.503984800
BRU00011388,Toothbrush 4000,2022-12-02 01:05:40.297537600,30,2,ha54nn,ha54nn,1,Order Received,2022-12-02 01:18:05.872942000,,
BRU00011714,Toothbrush 2000,2022-12-02 00:22:51.877931200,86,1,ba12du,ba12du,1,Order Confirmed,2022-12-02 01:35:26.354202400,,
BRU00011708,Toothbrush 4000,2022-12-02 16:03:32.431214399,53,5,eh355lb,eh355lb,1,Order Received,2022-12-02 16:15:02.843469599,,
BRU00011088,Toothbrush 4000,2022-12-01 16:23:15.039415600,29,5,gy79jf,gy79jf,1,Order Received,2022-12-01 16:35:16.456465600,,
BRU00011508,Toothbrush 4000,2022-12-02 09:07:12.008601200,21,8,cf831hx,cf831hx,1,Order Confirmed,2022-12-02 10:17:54.373578800,,
BRU00011631,Toothbrush 4000,2022-12-01 20:54:27.153277200,25,7,bs247gp,bs247gp,1,Dispatched,2022-12-02 03:14:29.679932400,Delivered,2022-12-03 07:27:38.108037600
BRU00010972,Toothbrush 2000,2022-12-01 20:07:03.411550800,60,6,dy123bd,dy123bd,1,Dispatched,2022-12-02 03:14:10.106666400,Delivered,2022-12-03 01:41:59.754072000
BRU00011314,Toothbrush 4000,2022-12-02 12:51:54.298363600,24,9,bh193yh,bh193yh,1,Order Confirmed,2022-12-02 13:46:09.819079600,,
BRU00011332,Toothbrush 4000,2022-12-02 18:59:46.640599600,19,9,hd96pp,hd96pp,1,Order Received,2022-12-02 19:12:03.137178400,,
BRU00010946,Toothbrush 4000,2022-12-02 12:08:10.287615600,11,4,b54sj,b54sj,1,Order Confirmed,2022-12-02 13:01:31.412425200,,
BRU00011780,Toothbrush 4000,2022-12-02 14:34:21.378472400,14,5,g412eh,g412eh,1,Order Confirmed,2022-12-02 15:48:27.041588000,,
BRU00011727,Toothbrush 4000,2022-12-02 15:49:34.588986400,18,9,bs106jz,bs106jz,1,Order Received,2022-12-02 16:02:13.442231200,,
BRU00011709,Toothbrush 4000,2022-12-02 16:37:19.200174000,36,6,de233au,de233au,1,Dispatched,2022-12-02 23:11:36.574894800,Delivered,2022-12-04 00:51:17.598712800
BRU00011155,Toothbrush 4000,2022-12-01 23:47:51.130181600,32,5,cv82pq,cv82pq,1,Dispatched,2022-12-02 08:08:14.164917200,Delivered,2022-12-03 19:53:25.937277200
BRU00011405,Toothbrush 2000,2022-12-02 10:21:44.223887200,83,1,bs105ep,bs105ep,1,Dispatched,2022-12-02 18:25:11.568799600,Delivered,2022-12-04 01:02:33.910559200
BRU00011073,Toothbrush 4000,2022-12-02 18:53:23.583800400,23,4,g673ad,g673ad,1,Dispatched,2022-12-03 01:31:11.959168800,Delivered,2022-12-04 07:11:08.684908800
BRU00011044,Toothbrush 2000,2022-12-02 12:23:15.708971600,82,3,dd82us,dd82us,1,Dispatched,2022-12-02 19:15:29.515919600,Delivered,2022-12-03 19:39:14.599730000
BRU00010865,Toothbrush 2000,2022-12-01 18:40:10.535890800,79,3,bs107ay,bs107ay,1,Dispatched,2022-12-02 01:37:57.749721600,Delivered,2022-12-02 20:48:13.359916800
BRU00010872,Toothbrush 4000,2022-12-02 08:34:33.513749600,16,3,dn84ng,dn84ng,1,Order Confirmed,2022-12-02 09:31:22.043516000,,
BRU00011254,Toothbrush 2000,2022-12-02 03:28:42.412864400,82,9,al48nw,al48nw,1,Order Confirmed,2022-12-02 04:49:41.075853200,,
BRU00011269,Toothbrush 4000,2022-12-02 13:31:42.579312400,33,6,dh76pl,dh76pl,1,Order Confirmed,2022-12-02 14:44:39.943555600,,
BRU00011116,Toothbrush 2000,2022-12-01 15:07:43.321313600,73,3,gu307dz,gu307dz,1,Dispatched,2022-12-01 22:11:48.132783199,Delivered,2022-12-02 20:04:32.776319599
BRU00011035,Toothbrush 4000,2022-12-01 22:59:10.366248800,22,3,b761sa,b761sa,1,Order Confirmed,2022-12-02 00:13:39.713235200,,
BRU00011687,Toothbrush 4000,2022-12-02 10:08:42.912622000,21,2,cf244ex,cf244ex,1,Order Received,2022-12-02 10:22:12.699487600,,
BRU00011550,Toothbrush 2000,2022-12-01 14:11:21.923751599,77,9,cv35dh,cv35dh,1,Order Confirmed,2022-12-01 15:00:52.881718799,,
BRU00011784,Toothbrush 2000,2022-12-01 22:25:53.438907600,74,9,dn50tp,dn50tp,1,Dispatched,2022-12-02 05:04:15.870596400,Delivered,2022-12-03 09:36:09.509247600
BRU00011371,Toothbrush 2000,2022-12-02 06:14:40.943082800,82,8,ha49aa,ha49aa,1,Dispatched,2022-12-02 13:28:00.280624400,Delivered,2022-12-03 16:20:15.160815200
BRU00011495,Toothbrush 4000,2022-12-02 15:16:24.109838000,12,6,ct53la,ct53la,1,Dispatched,2022-12-02 21:54:08.116862000,Delivered,2022-12-03 18:27:24.537394400
BRU00011576,Toothbrush 4000,2022-12-01 23:25:17.209435200,38,9,dh47hz,dh47hz,1,Order Confirmed,2022-12-02 00:36:48.809863200,,
BRU00011285,Toothbrush 2000,2022-12-01 09:24:07.786451200,69,2,da81dh,da81dh,1,Order Confirmed,2022-12-01 10:32:23.141483200,,
BRU00010805,Toothbrush 2000,2022-12-01 20:08:47.455648000,78,3,cv358uq,cv358uq,1,Order Received,2022-12-01 20:21:14.391362800,,
BRU00011604,Toothbrush 4000,2022-12-02 04:45:57.482811200,25,8,hp157dw,hp157dw,1,Order Received,2022-12-02 04:57:53.618243600,,
BRU00011370,Toothbrush 2000,2022-12-02 02:36:05.421786000,79,3,bs240pa,bs240pa,1,Order Confirmed,2022-12-02 03:39:29.040028800,,
BRU00011422,Toothbrush 4000,2022-12-02 02:30:22.866668000,19,5,bn228bn,bn228bn,1,Order Received,2022-12-02 02:41:13.747406000,,
BRU00011169,Toothbrush 2000,2022-12-01 08:42:24.305675200,56,1,ca75jl,ca75jl,1,Order Received,2022-12-01 08:54:35.991073600,,
BRU00011359,Toothbrush 4000,2022-12-02 12:37:10.171455200,29,8,gy13sn,gy13sn,1,Order Received,2022-12-02 12:49:15.506234000,,
BRU00010995,Toothbrush 2000,2022-12-01 20:15:31.067158800,79,1,de141lj,de141lj,1,Order Confirmed,2022-12-01 21:15:29.078040000,,
BRU00011630,Toothbrush 2000,2022-12-02 07:28:40.910761199,60,3,ba202fs,ba202fs,1,Order Confirmed,2022-12-02 08:42:57.544171199,,
BRU00011633,Toothbrush 4000,2022-12-01 22:13:03.110586800,28,2,gl207rg,gl207rg,1,Order Received,2022-12-01 22:25:22.736735600,,
BRU00010880,Toothbrush 4000,2022-12-02 01:39:34.540454800,14,1,cf629ug,cf629ug,1,Dispatched,2022-12-02 08:50:14.191997200,Delivered,2022-12-03 10:14:04.508846800
BRU00010916,Toothbrush 2000,2022-12-02 02:31:32.868414800,66,4,dt48aw,dt48aw,1,Order Received,2022-12-02 02:45:25.908281600,,
BRU00010980,Toothbrush 4000,2022-12-01 23:51:34.385718800,20,3,cf52hr,cf52hr,1,Order Confirmed,2022-12-02 01:02:29.306520800,,
BRU00011346,Toothbrush 4000,2022-12-01 21:04:34.128076000,27,3,gu113sl,gu113sl,1,Dispatched,2022-12-02 03:40:03.261305200,Delivered,2022-12-03 10:29:15.593858800
BRU00011096,Toothbrush 2000,2022-12-01 11:04:20.090864400,77,2,g830jd,g830jd,1,Order Confirmed,2022-12-01 12:06:35.434509600,,
BRU00011706,Toothbrush 2000,2022-12-02 08:04:25.074950800,76,2,ex30pf,ex30pf,1,Order Received,2022-12-02 08:15:49.422707200,,
BRU00011534,Toothbrush 4000,2022-12-02 06:03:17.037464400,12,8,ex42ee,ex42ee,1,Order Confirmed,2022-12-02 06:55:46.897550400,,
BRU00011728,Toothbrush 2000,2022-12-01 10:11:57.912249200,70,6,eh139eg,eh139eg,1,Order Received,2022-12-01 10:24:08.042012000,,
BRU00011625,Toothbrush 4000,2022-12-02 05:21:32.297527200,18,6,dn123lg,dn123lg,1,Dispatched,2022-12-02 12:43:53.786767200,Delivered,2022-12-03 16:47:48.247981200
BRU00011049,Toothbrush 2000,2022-12-01 16:42:44.253710800,62,6,bh232re,bh232re,1,Order Confirmed,2022-12-01 17:57:17.875146400,,
BRU00010945,Toothbrush 2000,2022-12-01 19:52:55.020552000,74,7,b712rn,b712rn,1,Order Confirmed,2022-12-01 21:05:15.987373200,,
BRU00010956,Toothbrush 2000,2022-12-02 02:20:15.954384400,101,9,hu179ds,hu179ds,1,Order Confirmed,2022-12-02 03:13:31.760611600,,
BRU00011731,Toothbrush 2000,2022-12-01 13:04:36.348433200,82,3,bh207hz,bh207hz,1,Order Confirmed,2022-12-01 14:07:16.140070800,,
BRU00011158,Toothbrush 4000,2022-12-02 20:43:27.191125599,42,1,ba215ft,ba215ft,1,Order Confirmed,2022-12-02 21:46:30.556909599,,
BRU00011525,Toothbrush 4000,2022-12-01 20:29:24.278214000,28,8,cm63lp,cm63lp,1,Order Confirmed,2022-12-01 21:31:08.666409600,,
BRU00011745,Toothbrush 4000,2022-12-01 13:56:09.730546400,37,8,dd54sj,dd54sj,1,Order Received,2022-12-01 14:08:27.546831200,,
BRU00011483,Toothbrush 2000,2022-12-01 23:54:30.310408400,64,9,bs481rq,bs481rq,1,Order Confirmed,2022-12-02 00:41:35.440562000,,
BRU00010885,Toothbrush 2000,2022-12-02 13:09:51.634160000,72,7,cv344sg,cv344sg,1,Order Received,2022-12-02 13:21:17.239893200,,
BRU00011014,Toothbrush 4000,2022-12-02 10:13:48.266255200,23,5,bs106qa,bs106qa,1,Dispatched,2022-12-02 16:50:33.259872400,Delivered,2022-12-03 19:12:07.086235600
BRU00011355,Toothbrush 2000,2022-12-01 19:37:29.947554400,82,8,ig80eg,ig80eg,1,Order Confirmed,2022-12-01 20:29:12.065088400,,
BRU00011703,Toothbrush 4000,2022-12-02 01:45:05.640084399,33,2,ex168hd,ex168hd,1,Order Confirmed,2022-12-02 02:55:35.130691599,,
BRU00011772,Toothbrush 4000,2022-12-01 21:08:53.875600800,25,7,gu97sw,gu97sw,1,Order Confirmed,2022-12-01 21:49:19.724502000,,
BRU00010975,Toothbrush 4000,2022-12-02 07:45:52.652796000,21,1,hd46qh,hd46qh,1,Order Received,2022-12-02 07:58:30.554107200,,
BRU00011487,Toothbrush 2000,2022-12-01 16:46:04.326139200,94,6,bb97ly,bb97ly,1,Dispatched,2022-12-02 00:11:13.820686800,Delivered,2022-12-03 00:06:59.218747200
BRU00011497,Toothbrush 2000,2022-12-02 01:05:13.867862800,55,6,cw72nh,cw72nh,1,Order Confirmed,2022-12-02 02:13:22.990333600,,
BRU00010957,Toothbrush 4000,2022-12-01 16:16:10.700148400,29,8,bh189au,bh189au,1,Order Confirmed,2022-12-01 17:08:52.538593600,,
BRU00011174,Toothbrush 2000,2022-12-02 10:30:28.116082000,53,4,bd208tp,bd208tp,1,Dispatched,2022-12-02 17:50:22.370326000,Delivered,2022-12-03 22:26:43.934293599
BRU00010834,Toothbrush 4000,2022-12-01 20:30:09.361765200,28,8,gu73dx,gu73dx,1,Order Received,2022-12-01 20:42:44.693680800,,
BRU00010962,Toothbrush 2000,2022-12-02 02:13:28.984808400,53,1,co58pu,co58pu,1,Order Received,2022-12-02 02:25:10.636065600,,
BRU00011323,Toothbrush 4000,2022-12-02 06:09:40.265319600,35,1,bs44sx,bs44sx,1,Order Received,2022-12-02 06:21:35.314362000,,
BRU00011365,Toothbrush 2000,2022-12-01 14:21:33.911211200,87,3,ex137ne,ex137ne,1,Order Confirmed,2022-12-01 15:36:29.215677200,,
BRU00011298,Toothbrush 2000,2022-12-01 12:31:05.857397200,70,2,dh34jr,dh34jr,1,Order Received,2022-12-01 12:43:24.583578400,,
BRU00011467,Toothbrush 2000,2022-12-02 07:53:47.333408399,80,5,hu52jg,hu52jg,1,Order Received,2022-12-02 08:04:56.689573199,,
BRU00011575,Toothbrush 2000,2022-12-02 09:30:54.966280400,79,5,ct66rg,ct66rg,1,Order Received,2022-12-02 09:42:56.343579200,,
BRU00011587,Toothbrush 4000,2022-12-01 19:47:44.922687600,34,7,bs206rj,bs206rj,1,Dispatched,2022-12-02 02:27:10.286314800,Delivered,2022-12-03 09:37:47.670195600
BRU00011602,Toothbrush 2000,2022-12-02 06:41:50.317230800,65,8,ch636ha,ch636ha,1,Order Confirmed,2022-12-02 07:34:35.028652400,,
BRU00011028,Toothbrush 2000,2022-12-02 11:49:04.384723200,88,3,b904qg,b904qg,1,Dispatched,2022-12-02 19:03:35.871726000,Delivered,2022-12-04 01:51:27.271524000
BRU00011737,Toothbrush 4000,2022-12-02 19:40:52.905133600,12,9,fy16sa,fy16sa,1,Dispatched,2022-12-03 03:52:55.621204000,Delivered,2022-12-04 16:13:17.700668800
BRU00011763,Toothbrush 2000,2022-12-02 03:15:11.249071600,76,4,dl147qy,dl147qy,1,Dispatched,2022-12-02 09:24:46.334124400,Delivered,2022-12-03 14:39:15.537377200
BRU00010973,Toothbrush 4000,2022-12-02 02:06:11.293511200,33,9,eh546bs,eh546bs,1,Order Received,2022-12-02 02:18:01.990114000,,
BRU00011345,Toothbrush 4000,2022-12-02 17:32:18.085312800,30,2,cm50qb,cm50qb,1,Dispatched,2022-12-03 00:45:49.400112000,Delivered,2022-12-04 03:13:36.206811600
BRU00011306,Toothbrush 4000,2022-12-02 07:13:13.578435200,27,9,cb114gj,cb114gj,1,Dispatched,2022-12-02 14:02:23.936097200,Delivered,2022-12-03 19:27:37.692206000
BRU00011393,Toothbrush 2000,2022-12-02 06:04:06.661715200,80,8,cm234fq,cm234fq,1,Order Confirmed,2022-12-02 07:27:24.628284400,,
BRU00011484,Toothbrush 4000,2022-12-02 11:44:07.304180800,28,3,b377ep,b377ep,1,Order Confirmed,2022-12-02 13:05:10.023876400,,
BRU00011517,Toothbrush 2000,2022-12-02 00:58:42.753455600,66,2,cm49le,cm49le,1,Order Received,2022-12-02 01:10:31.903192400,,
BRU00011041,Toothbrush 2000,2022-12-01 23:18:37.227882400,83,1,g663tp,g663tp,1,Order Received,2022-12-01 23:30:25.859640400,,
BRU00011402,Toothbrush 2000,2022-12-01 23:31:40.343397600,56,5,en87jn,en87jn,1,Dispatched,2022-12-02 07:05:32.289910800,Delivered,2022-12-03 10:29:54.979422000
BRU00010985,Toothbrush 4000,2022-12-01 17:06:06.647632800,33,4,b201al,b201al,1,Order Received,2022-12-01 17:18:41.731562400,,
BRU00011541,Toothbrush 4000,2022-12-01 20:47:26.748634400,26,8,fk20se,fk20se,1,Order Received,2022-12-01 21:00:18.485771600,,
BRU00011730,Toothbrush 2000,2022-12-02 05:53:22.622883200,70,3,en76qd,en76qd,1,Dispatched,2022-12-02 13:05:53.124563600,Delivered,2022-12-03 13:08:58.111398800
BRU00010820,Toothbrush 4000,2022-12-02 15:58:10.889439200,16,5,cr27je,cr27je,1,Order Confirmed,2022-12-02 16:50:11.383130000,,
BRU00011549,Toothbrush 4000,2022-12-02 05:29:01.096763600,29,7,ha12pa,ha12pa,1,Order Confirmed,2022-12-02 06:20:27.581564000,,
BRU00010936,Toothbrush 4000,2022-12-02 06:08:21.818404400,26,4,bn253eb,bn253eb,1,Order Confirmed,2022-12-02 06:56:14.648165600,,
BRU00011723,Toothbrush 4000,2022-12-02 10:19:37.830515600,16,4,cb113lq,cb113lq,1,Dispatched,2022-12-02 16:23:51.474027200,Delivered,2022-12-03 20:01:04.158027200
BRU00011347,Toothbrush 4000,2022-12-02 12:49:57.557670000,22,5,e149bh,e149bh,1,Order Received,2022-12-02 13:01:52.680303600,,
BRU00011213,Toothbrush 4000,2022-12-02 04:18:39.267984000,2,4,bs153ed,bs153ed,1,Order Received,2022-12-02 04:30:43.058658000,,
BRU00010833,Toothbrush 4000,2022-12-01 10:28:42.562643200,26,9,ip123fd,ip123fd,1,Order Received,2022-12-01 10:39:45.965696800,,
BRU00011238,Toothbrush 2000,2022-12-02 12:22:27.934280800,79,3,b459de,b459de,1,Order Received,2022-12-02 12:34:24.554766400,,
BRU00011747,Toothbrush 4000,2022-12-02 06:57:02.977782400,14,5,cf372db,cf372db,1,Dispatched,2022-12-02 13:41:34.119300400,Delivered,2022-12-03 14:28:29.236176400
BRU00011409,Toothbrush 2000,2022-12-01 18:59:45.011092800,84,8,bb129jy,bb129jy,1,Order Confirmed,2022-12-01 20:13:59.985529200,,
BRU00011128,Toothbrush 2000,2022-12-01 20:16:51.463022400,77,5,cm31bw,cm31bw,1,Dispatched,2022-12-02 04:23:15.664288800,Delivered,2022-12-03 05:06:43.232496000
BRU00011768,Toothbrush 4000,2022-12-02 02:19:32.102562800,34,1,hd22sb,hd22sb,1,Order Confirmed,2022-12-02 02:56:43.003392800,,
BRU00010818,Toothbrush 4000,2022-12-02 05:34:07.851004800,25,1,gl44sj,gl44sj,1,Dispatched,2022-12-02 13:10:32.262367200,Delivered,2022-12-03 13:57:40.760900400
BRU00011475,Toothbrush 4000,2022-12-02 05:19:56.910501200,-5,8,gl60af,gl60af,1,Order Received,2022-12-02 05:32:01.412200400,,
BRU00011309,Toothbrush 4000,2022-12-02 23:19:42.633476400,17,4,cf828fp,cf828fp,1,Dispatched,2022-12-03 07:03:14.620035600,Delivered,2022-12-04 11:02:04.893622800
BRU00010814,Toothbrush 2000,2022-12-01 20:38:31.777515200,57,4,ab452nj,ab452nj,1,Order Received,2022-12-01 20:50:05.798579600,,
BRU00011087,Toothbrush 4000,2022-12-02 12:20:16.681464000,40,7,hu107ll,hu107ll,1,Dispatched,2022-12-02 19:54:09.061500000,Delivered,2022-12-03 20:45:08.123156400
BRU00011693,Toothbrush 2000,2022-12-01 20:23:20.562566800,79,5,br12az,br12az,1,Order Confirmed,2022-12-01 21:34:12.925943200,,
BRU00011017,Toothbrush 4000,2022-12-01 15:22:59.640819200,16,6,bn69gb,bn69gb,1,Dispatched,2022-12-01 22:05:19.476804800,Delivered,2022-12-02 21:09:03.409163600
BRU00011113,Toothbrush 4000,2022-12-01 22:05:33.062145200,33,7,bh80jw,bh80jw,1,Order Received,2022-12-01 22:16:37.194155600,,
BRU00011291,Toothbrush 2000,2022-12-01 21:30:42.229680800,69,3,bb48ax,bb48ax,1,Dispatched,2022-12-02 04:32:39.216511999,Delivered,2022-12-03 07:06:58.021260799
BRU00011441,Toothbrush 2000,2022-12-01 07:59:55.965002800,79,5,ct95dh,ct95dh,1,Order Received,2022-12-01 08:12:00.257772400,,
BRU00010803,Toothbrush 2000,2022-12-01 20:48:41.561861199,77,8,da144qn,da144qn,1,Order Received,2022-12-01 21:00:32.721373599,,
BRU00011507,Toothbrush 2000,2022-12-01 21:54:36.731344399,65,2,ct202be,ct202be,1,Order Confirmed,2022-12-01 23:06:50.445695599,,
BRU00011013,Toothbrush 2000,2022-12-02 13:19:03.743708800,78,3,bn29tj,bn29tj,1,Dispatched,2022-12-02 21:46:10.136498800,Delivered,2022-12-04 10:00:05.405150800
BRU00011536,Toothbrush 4000,2022-12-01 19:27:23.843600000,27,8,de722hj,de722hj,1,Dispatched,2022-12-02 02:48:06.269602400,Delivered,2022-12-03 07:53:30.732184400
BRU00010839,Toothbrush 4000,2022-12-02 07:06:29.261783600,36,5,ca222fj,ca222fj,1,Order Confirmed,2022-12-02 08:15:55.459959200,,
BRU00010965,Toothbrush 4000,2022-12-02 03:16:09.024456000,25,4,cm26se,cm26se,1,Order Received,2022-12-02 03:27:56.391213600,,
BRU00011161,Toothbrush 2000,2022-12-01 13:12:30.015938400,56,1,hg32nx,hg32nx,1,Dispatched,2022-12-01 20:08:22.766466000,Delivered,2022-12-02 22:35:17.405925600
BRU00011034,Toothbrush 4000,2022-12-02 07:23:53.713868400,26,5,im92hs,im92hs,1,Dispatched,2022-12-02 14:07:41.109266400,Delivered,2022-12-03 14:40:09.282930000
BRU00011004,Toothbrush 4000,2022-12-01 23:18:11.520289600,29,7,gy68lr,gy68lr,1,Order Received,2022-12-01 23:29:53.355650800,,
BRU00011086,Toothbrush 2000,2022-12-01 21:01:52.072880800,73,8,bn274au,bn274au,1,Dispatched,2022-12-02 04:34:10.616918800,Delivered,2022-12-03 10:30:56.266141600
BRU00011679,Toothbrush 4000,2022-12-02 23:51:08.028567200,16,3,ch658eb,ch658eb,1,Order Received,2022-12-03 00:03:35.461712000,,
BRU00011095,Toothbrush 2000,2022-12-02 02:18:45.939121200,58,8,g811nj,g811nj,1,Order Received,2022-12-02 02:31:32.107803600,,
BRU00011103,Toothbrush 2000,2022-12-01 20:11:18.247340800,81,3,en93lf,en93lf,1,Dispatched,2022-12-02 03:07:30.021175600,Delivered,2022-12-03 08:31:54.291209200
BRU00011560,Toothbrush 2000,2022-12-02 08:40:33.444028400,70,4,gu126eh,gu126eh,1,Dispatched,2022-12-02 16:44:02.347773200,Delivered,2022-12-03 18:15:13.240229600
BRU00010963,Toothbrush 4000,2022-12-02 02:20:27.238652400,23,3,gl179uq,gl179uq,1,Dispatched,2022-12-02 09:32:16.380739200,Delivered,2022-12-03 15:44:34.547142000
BRU00010958,Toothbrush 2000,2022-12-02 03:16:44.036419600,78,2,bh234dt,bh234dt,1,Order Confirmed,2022-12-02 04:18:40.711724800,,
